도시명,시군구,학교명,학교 학생 수,최종 동질성 지수(H_m),소비 획일성 지수,소비 1위 업종,소비 2위 업종,소비 3위 업종,사회 문화 획일성 지수,진로 획일성 지수,진로 노출 획일성 지수,학구 순전입률
대구광역시,달성군,대구테크노초등학교,332,1.014473117,0.4321,,,,0.955971,0.693446,0.3487,0
대구광역시,달서구,대구성남초등학교,328,1.096197839,0.4321,,,,0.959498,1,0.3515,-1.524390244
대구광역시,중구,대구동덕초등학교,326,1.186474485,0.2302,무점포 소매업,스포츠 및 오락관련 서비스업,소매업; 자동차 제외,0.97322,1,0.3322,30.06134969
대구광역시,달서구,대구대남초등학교,322,1.095579104,0.4321,,,,0.945775,1,0.3515,-7.142857143
대구광역시,중구,경구중학교,320,1.005502163,0.2302,무점포 소매업,스포츠 및 오락관련 서비스업,소매업; 자동차 제외,0.973144,0.328942,0.3322,5.443037975
대구광역시,북구,동변중학교,319,1.001785554,0.4321,,,,0.963448,0.277831,0.3493,0.5465547531
대구광역시,수성구,대구농업마이스터고등학교,317,0.9696376816,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.954435,0.1359,0.3313,0
대구광역시,달서구,대구도원초등학교,315,1.119263251,0.4321,,,,0.961027,1,0.3515,-1.587301587
대구광역시,달서구,대구용전초등학교,313,1.124255076,0.4321,,,,0.963076,1,0.3515,-2.236421725
대구광역시,달서구,대구신흥초등학교,313,1.027108121,0.4321,,,,0.967336,0.546415,0.3515,-1.916932907
대구광역시,북구,대구태현초등학교,312,1.120821391,0.4321,,,,0.956897,1,0.3493,-1.923076923
대구광역시,남구,경상중학교부설방송통신중학교,310,1.062797532,0.5969,보건업,"섬유, 의복, 신발 및 가죽제품 소매업",제조업 및 기타,0.941907,0.693446,0.3552,0
대구광역시,달서구,대구남송초등학교,307,1.260512925,0.4321,,,,0.962868,1,0.3515,16.28664495
